name,artist,id,popularity,release_date
TELEKINESIS (feat. SZA & Future),Travis Scott,1i9lZvlaDdWDPyXEE95aiq,76,2023-07-28
Superpowers,Daniel Caesar,736PP5LTtREkDgktNmX3Gu,85,2023-04-07
TIL FURTHER NOTICE (feat. James Blake & 21 Savage),Travis Scott,76gcXhY3Zv6wW0BTe9nHJo,75,2023-07-28
Angel Numbers / Ten Toes,Chris Brown,3XqM8hLCEYlbnFjoWwqtFv,77,2023-11-10
Pink Pony Club,Chappell Roan,1k2pQc5i348DCHwbn5KTdc,84,2023-09-22
OMG,NewJeans,65FftemJ1DbbZ45DUfHJXE,78,2023-01-02
Shot Glass of Tears,Jung Kook,7AbqgE05nFl9qY4FRUiq2p,70,2023-11-03
Too Sad to Dance,Jung Kook,3bNNvJA7hsGw0wSpGkfOBm,70,2023-11-03
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship,7Ee6XgP8EHKDhTMYLIndu9,78,2023-05-19
Thank You (Not So Bad),Dimitri Vegas & Like Mike,09CnYHiZ5jGT1wr1TXJ9Zt,82,2023-12-01
Tip Toe,HYBS,0MJ5wKsPEeihONNfugHGy7,74,2023-06-20
run for the hills,Tate McRae,51hyZpbJlIgZIaX3TtMxmu,83,2023-12-08
You & Me - Rivo Remix,Disclosure,0xoYZ45fgTfyQYREZPN7Sa,80,2023-12-22
Under Your Spell,Snow Strippers,3iRoXGFrF8O0jTul6LAmus,78,2023-05-05
Rainy Days,V,5ydjxBSUIDn26MFzU3asP4,68,2023-08-11
Baby Don't Hurt Me,David Guetta,3BKD1PwArikchz2Zrlp1qi,78,2023-04-06
Lovin On Me,Jack Harlow,4xhsWYTOGcal8zt0J161CU,77,2023-11-10
Seven (feat. Latto),Jung Kook,5Avril3IZ26DPVFHbJX8o6,72,2023-07-14
500lbs,Lil Tecca,6rjuKpPydT2SxN15TZpV7r,78,2023-09-22
Sleepwalker,akiaura,1IPHnu3hVkawJMzkP97tcm,69,2023-06-30
would've been you,sombr,2U7svZUGvR4tfKdyxv9mXu,79,2023-11-17
New Jeans,NewJeans,6rdkCkjk6D12xRpdMXy0I2,78,2023-07-07
3D (feat. Jack Harlow),Jung Kook,6ehWdR7cGDXnT7aKEASJxE,73,2023-09-29
ANTIFRAGILE,LE SSERAFIM,0bMoNdAnxNR0OuQbGDovrr,77,2023-05-01
Standing Next to You,Jung Kook,2VqMBiaxblhhBHyB9X4ESl,71,2023-11-06
lacy,Olivia Rodrigo,6QT6j7rKt7Vk3IuV2AUO9W,81,2023-09-08
love.,wave to earth,5mtTAScDytxMMqZj14NmlN,78,2023-04-20
I AM,IVE,70t7Q6AYG6ZgTYmJWcnkUM,74,2023-04-10
Queencard,i-dle,3xtPQCHJQ3o70PeVAaZSG2,71,2023-05-15
Drama,aespa,5XWlyfo0kZ8LF7VSyfS4Ew,76,2023-11-10
"24/7, 365",elijah woods,05QUYSOApWLr8oBbpONl7p,70,2023-07-24
ETA,NewJeans,56v8WEnGzLByGsDAXDiv4d,77,2023-07-21
IDGAF (feat. Yeat),Drake,2YSzYUF3jWqb9YP9VXmpjE,75,2023-10-06
leavemealone,Fred again..,1MVqeIAwhD4T44AKVkIfic,73,2023-12-08
Let The Light In (feat. Father John Misty),Lana Del Rey,4qG7hWhljsqqENL5PaLA2z,77,2023-03-24
Sleep Well,d4vd,61MhXxcy6MUhrDeHCDE7AP,73,2023-05-26
New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,60SvhHtwefT0e2G7i7kOH3,76,2023-02-24
Prada,cassö,59NraMJsLaMCVtwXTSia8i,80,2023-08-11
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,1yeB8MUNeLo9Ek1UEpsyz6,78,2023-10-06
Perfect Night,LE SSERAFIM,74X2u8JMVooG2QbjRxXwR8,76,2023-10-27
BATTER UP,BABYMONSTER,3VBj0lzjmhTzVFPEDOjNCG,71,2023-11-27
Vois sur ton chemin - Techno Mix,BENNETT,31nfdEooLEq7dn3UMcIeB5,79,2023-08-04
The Door,Teddy Swims,3dj4wgM3cPeuLwMNHDuBon,86,2023-09-15
Fluxxwave,Clovis Reyes,5XuCHa19u2xLeGa8MJHAwu,68,2023-05-07
Sapna,Bayaan,40jsTy1VmzPMcSZmoLfePv,53,2023-09-08
Stop Waiting,Cigarettes After Sex,5ZP8LfM7TezqoxF9yp6VzX,70,2023-07-18
ONE CALL,Rich Amiri,69phA1R4gmQsBFRQ3INW8C,73,2023-11-17
Reckless,Madison Beer,1Dq5By1yUrOB0zSxhCc5v8,72,2023-09-15
From The Start,Laufey,1Ukxccao1BlWrPhYkcXbwZ,75,2023-05-11
Pink Pony Club,Chappell Roan,6393yGahSJ9slVdOwSxOVR,83,2023-09-21
Lose Control,Teddy Swims,6usohdchdzW9oML7VC4Uhk,81,2023-06-23
Trojan Horse,Dave,2HALQBSAvpw1oCzL5QsrT2,72,2023-06-04
GOOD LOYAL THOTS,Odetari,06tNJ27nVxbDwhiQMChWyr,73,2023-03-15
Virginia Beach,Drake,3eP13S8D5m2cweMEg3ZDed,75,2023-10-06
Dive,Olivia Dean,36vmaZyO0iAE6FZ7287fg2,85,2023-06-30
Promise,Laufey,08PdFBcXzpkn1cWNgmKqhn,79,2023-09-08
You’re Gonna Go Far,Noah Kahan,4nHJcUtNSUVjXRnjdP29Bk,80,2023-06-09
"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,4QhnNyKDsAkXPwHkSnuc89,73,2023-05-01
Oscar Winning Tears.,RAYE,0iO2iCAjtX0t5duvczNQt6,77,2023-02-03
Push Up - Main Edit,Creeds,3AjSfp5FDvwtMU9XBsbS8j,76,2023-03-31
So Far So Fake,Pierce The Veil,3fWibgdtgIie6LKTZ2rUoI,82,2023-02-10
"Soweto (with Don Toliver, Rema & Tempoe)",Victony,2rDtfPMI5mDJVTwYYG00QI,72,2023-03-22
Casual,Chappell Roan,3WSOUb3U7tqURbBSgZTrZX,80,2023-09-22
Fighting My Demons,Ken Carson,2c7sRekhMGlj7u1WIIzoQu,72,2023-10-13
Mwaki,Zerb,5KTZgG84bKFGm53lhLtTqc,72,2023-10-27
Rush,Troye Sivan,4ZnkygoWLzcGbQYCm3lkae,76,2023-10-13
Deep Sleep Brown Noise,Bits & Noise,0B97qFqGUnLvV2tXZpXfxf,81,2023-06-02
LET'S GET FKD UP,Alok,0iB5f04XdJ2tcfhoVkeLV8,75,2023-11-17
Stumblin' In,CYRIL,0h3Xy4V4apMraB5NuM8U7Z,81,2023-11-10
Best Time,Brent Faiyaz,1zgHn1EqUyA0HqNYMdJ5ia,75,2023-10-27
D-Day,Agust D,22W6wI4hDTjMAYKKBQW9dU,67,2023-04-21
Let Me Go,Daniel Caesar,3ym8ajVmKm6Fybgov3WBI5,76,2023-04-07
MONEY ON THE DASH - SPED UP,Elley Duhé,086THPnabbu1zfDjRsxpoN,73,2023-01-20
bad,wave to earth,6H67gFuycHyTOROX2M4bbs,75,2023-04-20
UK Rap,Dave,2VjOTvl50tscmc0RDjPdr2,69,2023-06-04
EL RELOJ,Blessd,7e5QmPfjLZOaJ6KjesymaZ,13,2023-07-27
Invéntame,Carolina Ross,2A38KqIEGat7QZ1phrqtj3,13,2023-01-08
MONACO,Bad Bunny,4MjDJD8cW7iVeWInc2Bdyj,80,2023-10-13
Worth It.,RAYE,7JgNAnCjJvL8hBR1kmCOFF,81,2023-02-03
The Rapture Pt.III,&ME,200DiJQhDi69nkGXOrrJgn,69,2023-06-09
Dance The Night,Dua Lipa,11C4y2Yz1XbHmaQwO06s9f,68,2023-07-21
Boyz In Paris (with VINAI),Marnik,17NHXI2CJp7KgdcwcDnRx4,75,2023-07-28
Wish You The Best,Lewis Capaldi,3gdPwk2wyOXNRnTA1KXnEr,76,2023-05-19
1+1,Naïka,3WID8m6M9eEQ1w1k486vMc,66,2023-09-01
stellar,.diedlonely,2PpYJcgJN6PzozUv7rU669,68,2023-06-23
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,4KULAymBBJcPRpk1yO4dOG,85,2023-08-25
Back On 74,Jungle,19kHhX6f6EfLU7rcO3RqjO,79,2023-08-11
Just Your Doll,Snow Strippers,18n0voG6fG03ogJznGiyWD,72,2023-11-15
Overdrive (feat. Norma Jean Martine),Ofenbach,3bK1zVFBKIzYjmptmI4NsJ,77,2023-10-06
guilty conscience,Tate McRae,2wIcebwzceIwgonsDICx6P,77,2023-12-08
Love U Like That,Lauv,3rmqiQbzPDx7A8p88IRFKg,67,2023-08-04
Red Wine Supernova,Chappell Roan,7FOgcfdz9Nx5V9lCNXdBYv,79,2023-09-22
The Hardest Part,Olivia Dean,3cPoiK69oQ1SdbB2j2ulGm,83,2023-06-30
GMFU (w/ 6arelyhuman),Odetari,4D1k6x4MXTaSnljSvAXhaf,72,2023-07-26
(It Goes Like) Nanana - Edit,Peggy Gou,23RoR84KodL5HWvUTneQ1w,75,2023-06-15
Rock My Body,R3HAB,6pb5DtlAeG95dNQLHiArRU,71,2023-04-28
Dial Drunk (with Post Malone),Noah Kahan,22VHOlVYBqytsrAqV8yXBK,77,2023-07-18
踊り子,Vaundy,1YXot2MLAG9sttepCtBRM7,71,2023-11-15
Rainy Days,V,54bg1e6ABcZfpU3yzwxnPf,62,2023-09-08
GOSSIP (feat. Tom Morello),Måneskin,44Xyja7xYPlVC6v2CeweSi,74,2023-01-20
HOT TO GO!,Chappell Roan,3j6CeoBBlm40Msn1JE1SPD,78,2023-09-21
When Will I Be Alright - Acoustic,Ed Sheeran,6BY9cn4Agv8d5ykOpH6Uio,12,2023-10-26
Rindo À Toa (Tudo Vira Reggae - Ao Vivo),Maneva,2cEjUebxYbXS4YrCWmfRxb,12,2023-09-01
"You Make Loving Fun - Live at Studio Instrument Rentals, 1976",Fleetwood Mac,3rBH1c0MYGKHKqyZiyJ8xP,11,2023-08-08
Best,Gracie Abrams,5HO2RD12vZ5NcIdAULo43M,68,2023-06-16
Beso (Fruta Fresca),Wakyin,0r3nMF80NSIuPIxeod4aoG,72,2023-12-13
In This Darkness,Clara La San,0bmVH05tjN9jVh3kB1TfpR,78,2023-01-29
Mrs Magic (Strings Version),Strawberry Guy,4iVj0UxqLlgrFWNdOnCwFS,75,2023-10-04
UNAVAILABLE (feat. Musa Keys),Davido,2kaH2Z8ezDUKf6fNw250rZ,68,2023-03-30
Nun id change,Yeat,00zk0uua6s2ifh0Nc3ppfW,68,2023-02-24
Let U Go,lucidbeatz,40TZnaw4eDPChJNHw2Swf3,69,2023-01-08
From the Start,Good Kid,6BJHsLiE47Sk0wQkuppqhr,75,2023-11-10
The Boy Is Mine,James Mac,1aRd5tMVhiRyMJLmSOg2IF,67,2023-06-23
Sweat,DJSM,5SzPoxOGAl1mGWsT36KLcC,68,2023-10-05
BABY SAID,Måneskin,2KReCz1L5XkGIBhDncQ5VZ,71,2023-01-20
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,2ZWmmrWUgDBcPSLihBMvhg,71,2023-07-27
When We Were Young (The Logical Song),David Guetta,1CcLA0eaauck34YEIrvAAq,73,2023-11-10
Love The Hell Out Of You,Lewis Capaldi,2qyeAiFswWB2PmYhdeObTP,73,2023-05-19
Lost Angeles,FRIENDLY THUG 52 NGG,11gTRcdz4wK32fghA2vrX7,63,2023-11-03
People (feat. Ayra Starr & Omah Lay),Libianca,4AxG1T6UJJ4xCX4Wz6JDLG,68,2023-03-31
Fast Car,Luke Combs,1Lo0QY9cvc8sUB2vnIOxDT,82,2023-03-24
LUNA,Feid,7bywjHOc0wSjGGbj04XbVi,84,2023-12-01
Levels,BigXthaPlug,6vOeokRJNZjouabFGDLH1C,78,2023-02-10
Last Night,Morgan Wallen,583dMdiUquLMenarTp7PQm,82,2023-03-03
Mmhmm,BigXthaPlug,4QTlxavdQGUVitxAvQqqkU,79,2023-12-01
TQG,KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,80,2023-02-24
LALA,Myke Towers,7ABLbnD53cQK00mhcaOUVG,78,2023-03-23
Like Crazy,Jimin,58BWnoFDNaeM0vwA0K3fqb,63,2023-03-26
Perfect Rainy Green Noise,JBE Noise Factory,7vfumRcj1Ga69SEulVaFQJ,73,2023-03-02
Amiga Mía,Joaquina,4dSHVWS54hKCx4uWF1vc1g,10,2023-03-15
"Kree Needale (From ""Captain Miller"") (Telugu)",G. V. Prakash,5WumUIJFsl82TFNySVuVjZ,0,2023-12-23
Meet you at the Graveyard,Cleffy,2vXSHAPCNpWZ7DNFDkEDMz,73,2023-10-06
La Morocha,Luck Ra,7aPsseax6rNFyipHn9A5CR,73,2023-07-07
scars,Novulent,016z46SJwcRosW9Xb8JKmF,66,2023-06-19
Lost Soul 2.0,cankick,2wa0uPo9FQxehS7pdbOubt,65,2023
Seya,GIMS,7movuYyQGEyHSniEWtsFMp,71,2023-01-01
Columbia,Quevedo,0uqt3MShCD4uYCIRNm6d4o,80,2023-07-07
Sladki Snov Rapper 2,FRIENDLY THUG 52 NGG,1lx65Q3Vfy8NsfaA5DXUcJ,61,2023-11-03
Hate.,ThxSoMch,2XynYulas10Wmef4Gqrxw9,71,2023-02-14
Not Fair,Niklas Dee,0JZ1ABjN8q7TNwMP39NjvU,70,2023-06-02
PROVENZA,KAROL G,3HqcNJdZ2seoGxhn0wVNDK,81,2023-02-24
Tacata (Remix),Tiagz,7LLBONqWyX3MoBvIVPu5fj,73,2023-12-22
I Wait for You,alex_g_offline,7EDcAz6iuKSkxH4VcC3Oko,75,2023-07-09
Back On My BS,BigXthaPlug,7hrFCoyWwKep7qp1lP4oga,75,2023-12-01
PERRO NEGRO,Bad Bunny,7iQXYTyuG13aoeHxGG28Nh,82,2023-10-13
LEFT RIGHT,XG,3v5o91PrUtf0nmO6j8J7dZ,69,2023-01-25
i am not who i was,Chance Peña,5uu2OCGGrTRS1sIvlMgKwe,69,2023-09-21
KANTE (feat. Fave),Davido,7vKXc90NT5WBm3UTT4iTVG,71,2023-03-30
My Home,Myles Smith,4ZEw5uS9RY6M6lEjsu7w8Q,73,2023-10-13
El Merengue,Marshmello,5KbBVSj6AJZ5662fO8EYFh,77,2023-11-03
All That Really Matters,ILLENIUM,6cLrGfKIIRHYQw7S0mCDhA,75,2023-04-28
